iter	RMSE
1297	24744.02627
1298	24736.33022
1299	24721.5741
1300	24707.06577
1301	24702.72399
1302	24690.98837
1303	24681.09626
1304	24675.06376
1305	24664.12105
1306	24650.84481
1307	24641.90797
1308	24628.05558
1309	24618.87728
1310	24612.32972
1311	24605.64982
1312	24598.3
1313	24592.59496
1314	24587.03874
1315	24581.69755
1316	24572.22635
1317	24558.44519
1318	24547.24352
1319	24544.08015
1320	24538.70222
1321	24531.57635
1322	24523.78896
1323	24508.34565
1324	24501.24747
1325	24489.83208
1326	24479.11221
1327	24472.21861
1328	24468.56136
1329	24459.41206
1330	24453.48565
1331	24440.62295
1332	24429.66799
1333	24424.31709
1334	24415.93295
1335	24411.35553
1336	24400.36798
1337	24395.58696
1338	24383.53208
1339	24379.63832
1340	24369.93213
1341	24360.9408
1342	24351.2543
1343	24343.362
1344	24337.9393
1345	24334.42349
1346	24329.26507
1347	24326.05865
1348	24320.52921
1349	24315.07223
1350	24306.83133
1351	24298.09016
1352	24289.23147
1353	24281.18333
1354	24276.81062
1355	24269.39655
1356	24256.49827
1357	24245.54535
1358	24233.88647
1359	24225.84146
1360	24219.01535
1361	24214.80411
1362	24205.04789
1363	24200.36347
1364	24192.24505
1365	24178.63023
1366	24173.7022
1367	24159.86876
1368	24153.18832
1369	24144.74729
1370	24138.59952
1371	24136.29518
1372	24125.15744
1373	24118.00803
1374	24107.58809
1375	24103.67996
1376	24100.95014
1377	24093.59578
1378	24084.32457
1379	24070.39009
1380	24065.65248
1381	24055.88434
1382	24046.54788
1383	24039.41757
1384	24032.30925
1385	24024.27814
1386	24016.7037
1387	24012.76332
1388	24008.70358
1389	24003.15271
1390	23995.07012
1391	23987.8418
1392	23979.54728
1393	23969.80626
1394	23960.94822
1395	23949.09527
1396	23945.75515
1397	23938.94946
1398	23933.04211
1399	23924.75499
1400	23920.27663
1401	23913.37532
1402	23904.88153
1403	23900.84802
1404	23897.86592
1405	23890.50073
1406	23884.43398
1407	23877.90582
1408	23871.98836
1409	23867.80107
1410	23861.10253
1411	23850.37498
1412	23845.17709
1413	23842.18648
1414	23838.29513
1415	23831.70269
1416	23822.28844
1417	23818.90579
1418	23814.99362
1419	23812.04419
1420	23808.07388
1421	23798.92643
1422	23791.38085
1423	23784.26009
1424	23779.16743
1425	23770.48568
1426	23765.04044
1427	23755.44432
1428	23748.3976
1429	23741.48508
1430	23732.80829
1431	23728.14666
1432	23717.7071
1433	23713.26196
1434	23698.69732
1435	23692.59639
1436	23683.10771
1437	23677.23568
1438	23669.53386
1439	23663.0671
1440	23656.24998
1441	23649.30243
1442	23644.8248
1443	23639.19394
1444	23634.20898
1445	23625.40497
1446	23613.23353
1447	23608.31763
1448	23603.93892
1449	23592.26137
1450	23586.19789
1451	23580.08356
1452	23575.41673
1453	23570.92422
1454	23560.8932
1455	23551.95926
1456	23546.22041
1457	23536.25049
1458	23529.3774
1459	23523.33176
1460	23518.48459
1461	23507.57791
1462	23502.61486
1463	23498.04286
1464	23486.5936
1465	23482.03127
1466	23475.35723
1467	23466.64136
1468	23457.11726
1469	23448.90063
1470	23445.21887
1471	23438.78759
1472	23436.14126
1473	23429.5443
1474	23421.64968
1475	23415.45937
1476	23407.31841
1477	23400.61816
1478	23392.62888
1479	23387.69776
1480	23379.40596
1481	23373.22157
1482	23365.82628
1483	23359.08189
1484	23354.03507
1485	23348.89487
1486	23343.12119
1487	23333.007
1488	23329.02478
1489	23321.48171
1490	23316.56194
1491	23306.16187
1492	23298.25066
1493	23290.54706
1494	23285.52666
1495	23281.11422
1496	23272.5684
1497	23268.16782
1498	23264.1735
1499	23258.04946
